>name	10uM_LYC_back1								
>description	10 uM working concentrations of oligos for backbone PCRs for scans of pLYC plasmids								
>location	Donner 166								
									
>>label	1	2	3	4	5	6	7	8	9
A		10uM PF2a	10uM PF3a	10uM PF4a	10uM PF5a	10uM PF6a			10uM EB1F
B		10uM BR2a	10uM BR3a	10uM BR4a	10uM BR5a	10uM BR6a			10uM EB1R
C		10uM BF2a	10uM BF3a	10uM BF4a	10uM BF5a	10uM BF6a			10uM EB2F
D		10uM PR2a	10uM PR3a	10uM PR4a	10uM PR5a	10uM PR6a			10uM EB2R
E									10uM kback1-F
F									10uM kback1-R
G									10uM kback2-F
H									10uM kback2-R
									
>>substance	1	2	3	4	5	6	7	8	9
A		PF2a	PF3a	PF4a	PF5a	PF6a			EB1F
B		BR2a	BR3a	BR4a	BR5a	BR6a			EB1R
C		BF2a	BF3a	BF4a	BF5a	BF6a			EB2F
D		PR2a	PR3a	PR4a	PR5a	PR6a			EB2R
E									kback1-F
F									kback1-R
G									kback2-F
H									kback2-R
									
>>concentration	1	2	3	4	5	6	7	8	9
A		10uM	10uM	10uM	10uM	10uM			10uM
B		10uM	10uM	10uM	10uM	10uM			10uM
C		10uM	10uM	10uM	10uM	10uM			10uM
D		10uM	10uM	10uM	10uM	10uM			10uM
E									10uM
F									10uM
G									10uM
H									10uM
