>name	Box_Lyc5								
>description	Samples specific for Lycopene5 TPcon scan								
>location	Donner 166								
									
>>label	1	2	3	4	5	6	7	8	9
A	pLYC26H-B						26H-Bd	26H-Bs	26H-Bp
B	pLYC26M-D						26M-Dd	26M-Ds	26M-Dp
C	pLYC26L-D						26L-Dd	26L-Ds	26L-Dp
D	pLYC26L-F						26L-Fd	26L-Fs	26L-Fp
E	pLYC26S-A						26S-Ad	26S-As	26S-Ap
F	pLYC26S-B						26S-Bd	26S-Bs	26S-Bp
G								10uM sLYC3	
H									
									
>>side_label	1	2	3	4	5	6	7	8	9
A	2H-B						pLYC26H-B	pLYC26H-B	pLYC26H-B
B	2M-D						pLYC26M-D	pLYC26M-D	pLYC26M-D
C	2L-D						pLYC26L-D	pLYC26L-D	pLYC26L-D
D	2L-F						pLYC26L-F	pLYC26L-F	pLYC26L-F
E	2S-A						pLYC26S-A	pLYC26S-A	pLYC26S-A
F	2S-B						pLYC26S-B	pLYC26S-B	pLYC26S-B
G									
H									
									
>>substance	1	2	3	4	5	6	7	8	9
A	pLYC26H						pLYC26H	pLYC26H	pLYC26H
B	pLYC26M						pLYC26M	pLYC26M	pLYC26M
C	pLYC26L						pLYC26L	pLYC26L	pLYC26L
D	pLYC26L						pLYC26L	pLYC26L	pLYC26L
E	pLYC26S						pLYC26S	pLYC26S	pLYC26S
F	pLYC26S						pLYC26S	pLYC26S	pLYC26S
G								sLYC3	
H									
									
>>concentration	1	2	3	4	5	6	7	8	9
A	miniprep						miniprep	miniprep	miniprep
B	miniprep						miniprep	miniprep	miniprep
C	miniprep						miniprep	miniprep	miniprep
D	miniprep						miniprep	miniprep	miniprep
E	miniprep						miniprep	miniprep	miniprep
F	miniprep						miniprep	miniprep	miniprep
G								10uM	
H									
									
>>culture	1	2	3	4	5	6	7	8	9
A	outgrowth						secondaryMM	secondary	primary
B	outgrowth						secondaryMM	secondary	primary
C	outgrowth						secondaryMM	secondary	primary
D	outgrowth						secondaryMM	secondary	primary
E	outgrowth						secondaryMM	secondary	primary
F	outgrowth						secondaryMM	secondary	primary
G									
H									
