>name	TPcon4_dil								
>description	20x dilutions of minipreps of sequence-confirmed TPcon4 promoter parts								
>location	Donner 166								
									
>>label	1	2	3	4	5	6	7	8	9
A	p20N71 dil20x	p20N87 dil20x	p20N92 dil20x	p20N94 dil20x	p20N99 dil20x	p20N104 dil20x	p20N109 dil20x	p20N114 dil20x	
B	p20N84 dil20x	p20N88 dil20x	p20N76 dil20x	p20N95 dil20x	p20N100 dil20x	p20N105 dil20x	p20N110 dil20x	p20N115 dil20x	
C	p20N73 dil20x	p20N89 dil20x	p20N77 dil20x	p20N96 dil20x	p20N101 dil20x	p20N106 dil20x	p20N111 dil20x	p20N116 dil20x	
D	p20N85 dil20x	p20N90 dil20x	p20N93 dil20x	p20N97 dil20x	p20N102 dil20x	p20N107 dil20x	p20N112 dil20x	p20N117 dil20x	
E	p20N86 dil20x	p20N91 dil20x	p20N78 dil20x	p20N98 dil20x	p20N103 dil20x	p20N108 dil20x		p20N118 dil20x	
F	p20N33 dil20x	p20N31 dil20x	p20N35 dil20x	p20N64 dil20x	p20N34 dil20x	p20N66 dil20x	p20N67 dil20x	p20N69 dil20x	
G	pLYC25 dil20x	pLYC25 dil20x	Mach1_gen						
H									
									
>>substance	1	2	3	4	5	6	7	8	9
A	p20N71	p20N87	p20N92	p20N94	p20N99	p20N104	p20N109	p20N114	
B	p20N84	p20N88	p20N76	p20N95	p20N100	p20N105	p20N110	p20N115	
C	p20N73	p20N89	p20N77	p20N96	p20N101	p20N106	p20N111	p20N116	
D	p20N85	p20N90	p20N93	p20N97	p20N102	p20N107	p20N112	p20N117	
E	p20N86	p20N91	p20N78	p20N98	p20N103	p20N108		p20N118	
F	p20N33	p20N31	p20N35	p20N64	p20N34	p20N66	p20N67	p20N69	
G	pLYC25	pLYC25	Mach1_gen						
H									
									
>>concentration	1	2	3	4	5	6	7	8	9
A	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	
B	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	
C	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	
D	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	
E	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x		dil20x	
F	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	dil20x	
G	dil20x	dil20x	genomic						
H									
									
>>clone	1	2	3	4	5	6	7	8	9
A	??	B	B	A	A	C	A	A	
B	A	B	??	A	A	A	B	A	
C	??	A	??	A	A	A	A	A	
D	C	A	A	A	A	B	B	A	
E	A	A	??	A	A	A		A	
F	??	??	??	??	??	??	??	??	
G									
H									
