>name	TPcon4_stocks								
>description	100 uM stocks of oligos for TPcon4 library								
>location	Donner 166								
									
>>label	1	2	3	4	5	6	7	8	9
A		TP2U	TP6U	TP3U	TP5U	TP14U	TP15U	TP17U	
B		TP2H	TP6H	TP3H	TP5H	TP14H	TP15H	TP17H	
C		TP2L	TP6L	TP3L	TP5L	TP14L	TP15L	TP17L	
D		TP2S	TP6S	TP3S	TP5S	TP14S	TP15S	TP17S	
E		TP2O	TP6O	TP3O	TP5O	TP14O	TP15O	TP17O	
F		TP2M	TP6M	TP3M	TP5M	TP14M	TP15M	TP17M	
G		sLYC3	sLYC4	sLYC5	sLYC6	sLYC7	sLYC9	sLYC10	
H									
									
>>substance	1	2	3	4	5	6	7	8	9
A		TP2U	TP6U	TP3U	TP5U	TP14U	TP15U	TP17U	
B		TP2H	TP6H	TP3H	TP5H	TP14H	TP15H	TP17H	
C		TP2L	TP6L	TP3L	TP5L	TP14L	TP15L	TP17L	
D		TP2S	TP6S	TP3S	TP5S	TP14S	TP15S	TP17S	
E		TP2O	TP6O	TP3O	TP5O	TP14O	TP15O	TP17O	
F		TP2M	TP6M	TP3M	TP5M	TP14M	TP15M	TP17M	
G		sLYC3	sLYC4	sLYC5	sLYC6	sLYC7	sLYC9	sLYC10	
H									
									
>>concentration	1	2	3	4	5	6	7	8	9
A		100uM	100uM	100uM	100uM	100uM	100uM	100uM	
B		100uM	100uM	100uM	100uM	100uM	100uM	100uM	
C		100uM	100uM	100uM	100uM	100uM	100uM	100uM	
D		100uM	100uM	100uM	100uM	100uM	100uM	100uM	
E		100uM	100uM	100uM	100uM	100uM	100uM	100uM	
F		100uM	100uM	100uM	100uM	100uM	100uM	100uM	
G		100uM	100uM	100uM	100uM	100uM	100uM	100uM	
H									
