>name	TPcon4_zymos									
>description	"TPcon4 PCR products after zymo cleanup, ready for assembly"									
>location	Donner 166									
										
>>label	1	2	3	4	5	6	7	8	9	10
A		f2U	f6U	f3U	f5U	f14U	f15U	f17U		
B		f2H	f6H	f3H	f5H	f14H	f15H	f17H		
C		f2L	f6L	f3L	f5L	f14L	f15L	f17L		
D		f2S	f6S	f3S	f5S	f14S	f15S	f17S		
E		f2O	f6O	f3O	f5O	f14O	f15O	f17O		
F		f2M	f6M	f3M	f5M	f14M	f15M	f17M		
G		back1-2	back1-3	back1-4	back1-5	back1-6				
H		back2-2	back2-3	back2-4	back2-5	back2-6				
										
>>substance	1	2	3	4	5	6	7	8	9	10
A		f2U	f6U	f3U	f5U	f14U	f15U	f17U		
B		f2H	f6H	f3H	f5H	f14H	f15H	f17H		
C		f2L	f6L	f3L	f5L	f14L	f15L	f17L		
D		f2S	f6S	f3S	f5S	f14S	f15S	f17S		
E		f2O	f6O	f3O	f5O	f14O	f15O	f17O		
F		f2M	f6M	f3M	f5M	f14M	f15M	f17M		
G		back1-2	back1-3	back1-4	back1-5	back1-6				
H		back2-2	back2-3	back2-4	back2-5	back2-6				
										
>>concentration	1	2	3	4	5	6	7	8	9	10
A		zymo	zymo	zymo	zymo	zymo	zymo	zymo		
B		zymo	zymo	zymo	zymo	zymo	zymo	zymo		
C		zymo	zymo	zymo	zymo	zymo	zymo	zymo		
D		zymo	zymo	zymo	zymo	zymo	zymo	zymo		
E		zymo	zymo	zymo	zymo	zymo	zymo	zymo		
F		zymo	zymo	zymo	zymo	zymo	zymo	zymo		
G		zymo	zymo	zymo	zymo	zymo				
H		zymo	zymo	zymo	zymo	zymo				
