>name	boxM								
>description	140L Spring 2019 M thread tubes								
>location	minifreezer								
>plate_type	cardboard_box								
>temperature	-20								
									
>>name	1	2	3	4	5	6	7	8	9
A	dap1	dap2	dap3	dap4	dap5	dap6			
B		M2p		M4p	M5p				
C	dap1b								
D	dap2b		pJBAG4-A	pJBAG4-B	pJBAG6-A	pJBAG6-B			
E	dap7		M1B1	M1B2	M1B3	M1B4			
F	dap8								
G									
H									
I									
J									
									
>>concentration	1	2	3	4	5	6	7	8	9
A	10 uM	10 uM	10 uM	10 uM	10 uM	10 uM			
B									
C	10 uM								
D	10 uM								
E	10 uM								
F	10 uM								
G									
H									
I									
J									
