>name	boxO									
>description	140L O thread									
>location	minifreezer									
>plate_type	cardboard_box									
>temperature	-20									
										
>>name	1	2	3	4	5	6	7	8	9	10
A	pimar1	pimar2	pimar3	pimar4	pimar5	pimar6	pimar7	pimar8		pim3-A
B	orfF1	nbackR0								
C	orfF0b	O7b	ObA	ObB					O9	
D	orfF0c	O7c	OcA	OcB						
E	orfF0d	O7d	OdA	OdB						
F	orfFRO									
G										
										
	H									
	I									
	J									
>>concentration	1	2	3	4	5	6	7	8	9	10
A	diluted 25x	diluted 25x	diluted 25x	diluted 25x	diluted 25x	diluted 25x	diluted 25x	diluted 25x		diluted 25x
B	10 uM	10 uM								
C	10 uM									
D	10 uM									
E	10 uM									
F	10 uM									
G										
H										
I										
J										
