>name	Box_Lyc6								
>description	Samples specific for Lycopene6								
>location	Donner 166								
									
>>label	1	2	3	4	5	6	7	8	9
A	EPF0	EPR0	10uM EPF0	10uM EPR0	Eback1	Kback1	pLYC33K-A		
B	EPF1	EPR1	10uM EPF1	10uM EPR1	Eback2	Kback2	pLYC33K-A		
C	EPF2	EPR2	10uM EPF2	10uM EPR2	Eori0	KP0			
D	pBR1074 dil20x	p20N189-A dil20x			Eori1	KP1			
E	kpMB1-F	kpmB1-R	10uM kpMB1-F	10uM kpmB1-R	Eori2	KP2			
F	k322-F	k322-R	10uM k322-F	10uM k322-R	2.66uM sLYC10				
G	k189-F	k189-R	10uM k189-F	10uM k189-R					
H									
									
>>side_label	1	2	3	4	5	6	7	8	9
A					EB1	KB1	K1-A		
B					EB2	KB2	K1-A		
C					EP0	KP0			
D					EP1	KP1			
E					EP2	KP2			
F									
G									
H									
									
>>substance	1	2	3	4	5	6	7	8	9
A	EPF0	EPR0	EPF0	EPR0			pLYC33K		
B	EPF1	EPR1	EPF1	EPR1			pLYC33K		
C	EPF2	EPR2	EPF2	EPR2					
D	pBR1074	p20N189-A							
E	kpMB1-F	kpmB1-R	kpMB1-F	kpmB1-R					
F	k322-F	k322-R	k322-F	k322-R	sLYC10				
G	k189-F	k189-R	k189-F	k189-R					
H									
									
>>concentration	1	2	3	4	5	6	7	8	9
A	100uM	100uM	10uM	10uM	zymo	zymo	miniprep		
B	100uM	100uM	10uM	10uM	zymo	zymo	miniprep		
C	100uM	100uM	10uM	10uM	zymo	zymo			
D	dil20x	dil20x			zymo	zymo			
E	100uM	100uM	10uM	10uM	zymo	zymo			
F	100uM	100uM	10uM	10uM	2.66uM				
G	100uM	100uM	10uM	10uM					
H									
									
>>culture	1	2	3	4	5	6	7	8	9
A							primary		
B							primary		
C									
D									
E									
F									
G									
H									
