>name	LYC_back1								
>description	100 uM stocks of oligos for backbone PCRs for scans of pLYC plasmids								
>location	Donner 166								
									
>>label	1	2	3	4	5	6	7	8	9
A		PF2a	PF3a	PF4a	PF5a	PF6a			EB1F
B		BR2a	BR3a	BR4a	BR5a	BR6a			EB1R
C		BF2a	BF3a	BF4a	BF5a	BF6a			EB2F
D		PR2a	PR3a	PR4a	PR5a	PR6a			EB2R
E									kback1-F
F									kback1-R
G									kback2-F
H									kback2-R
									
>>substance	1	2	3	4	5	6	7	8	9
A		PF2a	PF3a	PF4a	PF5a	PF6a			EB1F
B		BR2a	BR3a	BR4a	BR5a	BR6a			EB1R
C		BF2a	BF3a	BF4a	BF5a	BF6a			EB2F
D		PR2a	PR3a	PR4a	PR5a	PR6a			EB2R
E									kback1-F
F									kback1-R
G									kback2-F
H									kback2-R
									
>>concentration	1	2	3	4	5	6	7	8	9
A		100uM	100uM	100uM	100uM	100uM			100uM
B		100uM	100uM	100uM	100uM	100uM			100uM
C		100uM	100uM	100uM	100uM	100uM			100uM
D		100uM	100uM	100uM	100uM	100uM			100uM
E									100uM
F									100uM
G									100uM
H									100uM
