>name	box_Pcsc1								
>description	All materials for experiment P_csc1								
>location	Donner 166								
									
>>label	1	2	3	4	5	6	7	8	9
A	csc1	10 uM csc1	PcscA	pCSC1-A					
B	csc2	10 uM csc2	PcscK	pCSC2-A					
C	csc3	10 uM csc3	fcsc3	pCSC3-A					
D	csc4	10 uM csc4	fcsc4	pCSC3-D					
E	csc5	10 uM csc5	amil						
F	csc6	10 uM csc6							
G	csc7	10 uM csc7							
H	csc8	10 uM csc8							
I	csc9	10 uM csc9							
									
>>substance	1	2	3	4	5	6	7	8	9
A	csc1	csc1	PcscA	pCSC1					
B	csc2	csc2	PcscK	pCSC2					
C	csc3	csc3	fcsc3	pCSC3					
D	csc4	csc4	fcsc4	pCSC3					
E	csc5	csc5	amil						
F	csc6	csc6							
G	csc7	csc7							
H	csc8	csc8							
I	csc9	csc9							
									
>>concentration	1	2	3	4	5	6	7	8	9
A	100uM	10uM	zymo	miniprep					
B	100uM	10uM	zymo	miniprep					
C	100uM	10uM	zymo	miniprep					
D	100uM	10uM	zymo	miniprep					
E	100uM	10uM	zymo						
F	100uM	10uM							
G	100uM	10uM							
H	100uM	10uM							
I	100uM	10uM							
